Footprint,Part Number,Value,Description,Qty/assembly,Unit Price (@10 assemblies),Extended Price per Unit,Link
C1,CC0805MKX5R5BB476,47 uF,"0805 Capacitor, >5V",1,0.341,0.341,https://www.digikey.com/product-detail/en/yageo/CC0805MKX5R5BB476/311-1897-1-ND/5195799
J7,10118194-0001LF,,micro USB Header,1,0.405,0.405,https://www.digikey.com/product-detail/en/amphenol-icc-fci/10118194-0001LF/609-4618-1-ND/2785382
J8,54202-G08-03,,2x3 100 mil vertical SMT,1,0.352,0.352,https://www.digikey.com/product-detail/en/amphenol-icc-fci/54202-G08-03/609-5602-ND/1488240
R1,RMCF0805JT470R,470R,0805 resistor,1,0.019,0.019,https://www.digikey.com/product-detail/en/RMCF0805JT470R/RMCF0805JT470RCT-ND/1942551/
R2,TC33X-2-103E,10k,SMT Potentiometer,1,0.277,0.277,https://www.digikey.com/product-detail/en/bourns-inc/TC33X-2-103E/TC33X-103ECT-ND/612911
S1,DS05-127-2-04BK-SMT-TR,4x,SMT DIP Switches 50 mil,1,1.26,1.26,https://www.digikey.com/product-detail/en/cui-devices/DS05-127-2-04BK-SMT-TR/2223-DS05-127-2-04BK-SMT-CT-ND/11312443
U1,ATtiny3216,,SMT ATtiny3216,1,1,1,https://www.digikey.com/product-detail/en/microchip-technology/ATTINY3216-SNR/ATTINY3216-SNRCT-ND/9477803
U2,SI7211-B-00-IV,20 mT,Hall Effect Sensor,1,0.68,0.68,https://www.digikey.com/product-detail/en/silicon-labs/SI7211-B-00-IV/336-4057-ND/7323036
C2-C5,CL21B225KPFNNNE,2.2 uF,"0805 Capacitor, >5V",4,0.0498,0.1992,https://www.digikey.com/product-detail/en/CL21B225KPFNNNE/1276-1188-1-ND/3889274/?itemSeq=332167250
STE,3972,,microUSB breakout,1,6.5,,https://www.digikey.com/product-detail/en/3972/1528-2796-ND/9826284
STE,SMD291AX?,,Solder Paste,1,14.99,,https://www.digikey.com/product-detail/en/SMD291AX/SMD291AX-ND/1160002/?itemSeq=329328494
,,,Shipping,,4.99,0.499,
,,,Tariff,,2.36,0.236,
,,,Tax,,7.32,0.732,
,,,,,,,
,,,Neutral White RGBW,100,0.08784,8.784,https://www.aliexpress.com/item/32641663497.html?spm=a2g0s.9042311.0.0.43174c4dztINSE
,,,"Shipping, taxes",,,0.854,
,,,,,,,
,,,,,,,
,,unit thickness?,Knob,2,9.84,0.7872,https://www.mcmaster.com/91185A249-91185A223/
,,,"Shipping, taxes",,,applicagble tax and shipping will be added?,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,"11x2""",Frosted Acrylic,1,1.314,1.314,https://www.tapplastics.com/product/plastics/cut_to_size_plastic/black_led_sheet/668
,,,Shipping,,10.4,1.04,"11 x 20"""
,,,Tax,,3.51,0.351,
,,,,,,,
,,,,,,,
,,"1.6x10""",PCB,,16,1.6,https://www.allpcb.com/online_pcb_quote.html?hidLength=10&hidWidth=10&hidNum=10&hidLayers=2&BoardThickness=1.6
,,,"Shipping, taxes",,27.56,2.756,
,,,,,,,
,,,,,,,
,,,Construction paper,,6.29,0.629,https://www.cvs.com/shop/content/construction-paper
,,,tax,,0.59755,0.059755,
,,,,,,,
,,"12.410 * 4.062""","OshStencil 3 mil Polyimide, 1.25"" boarder",,22.4,2.24,
,,,tax,,2.95,0.295,
,,,shipping,,,,
,,,,,,,
,,,,,,,
,,,Sum,,,26.710155,
